Data scientece tool,% of respondents using the tool
Python,76.3
R,59.2
SQL,53.6
Jupyter notebooks,40.3
TensorFlow,28.4
Amazon Web services,23.5
Unix shell / awk,23.3
Tableau,20.4
C/C++,19.2
NoSQL,19.2
MATLAB/Octave,18.4
Java,18.3
Hadoop/Hive/Pig,17.3
Spark / MLlib,17.1
Microsoft Excel Data Mining,13.7
Other,11.5
SAS Base,9.3
Microsoft Azure Machine Learning,7.4
Google Cloud Compute,6.8
IBM SPSS Statistics,5.9
Microsoft SQL Server Data Mining,5.7
Cloudera,5.7
Amazon Machine Learning,5.3
SAS Enterprise Miner,5.1
Microsoft R Server (Formerly Revolution Analytics),4.8
QlikView,4.7
RapidMiner (free version),4.3
Perl,4
Mathematica,3.7
KNIME (free version),3.5
IBM SPSS Modeler,3.4
Impala,3.3
IBM Watson / Waton Analytics,3.2
Oracle Data Mining/ Oracle R Enterprise,2.9
Julia,2.4
IBM Cognos,2
Stan,2
Minitab,1.9
Flume,1.8
TIBCO Spotfire,1.8
Orange,1.7
SAS JMP,1.5
SAP BusinessObjects Predictive Analytics,1.2
RapidMiner (commercial version),1
DataRobot,0.8
Statistica (Quest/Dell-formerly Statsoft),0.6
KNIME (commercial version),0.5
Salfrod Systems CART/MARS/TreeNet/RF/SPM,0.5
Angoss,0.3
